LSOA code,LSOA name,lat_med,lon_med
W01000380,Wrexham 004D,53.066276,-3.022519
W01000381,Wrexham 012A,53.03634,-2.990305
W01000382,Wrexham 012B,53.036735,-2.984772
W01000384,Wrexham 022C,53.079294,-2.882267
W01000385,Wrexham 014C,53.009247,-3.040924
W01000386,Wrexham 015A,53.00585,-3.044003
W01000387,Wrexham 008D,53.068749,-2.985549
W01000388,Wrexham 008E,53.065652,-2.989025
W01000389,Wrexham 017D,52.973468,-3.089562
W01000390,Wrexham 021A,53.099322,-3.003697
W01000391,Wrexham 003D,53.091979,-3.000333
W01000392,Wrexham 003E,53.093657,-2.996335
W01000393,Wrexham 023G,53.051883,-2.985979
W01000394,Wrexham 016A,53.014962,-2.968915
W01000395,Wrexham 016B,53.024197,-2.95841
W01000398,Wrexham 013A,53.059499,-3.085782
W01000399,Wrexham 013B,53.072459,-3.101351
W01000400,Wrexham 005C,53.054520499999995,-3.028198
W01000401,Wrexham 005D,53.063216,-3.031786
W01000402,Wrexham 011D,53.042258,-2.996848
W01000403,Wrexham 018C,52.950973,-2.854997
W01000404,Wrexham 018D,52.956137,-2.889598
W01000405,Wrexham 015B,53.007214,-3.050716
W01000406,Wrexham 013C,53.001586,-3.061518
W01000407,Wrexham 016C,52.985492,-3.044738
W01000408,Wrexham 013D,52.999216000000004,-3.0716295000000002
W01000409,Wrexham 017E,52.983042,-3.062369
W01000410,Wrexham 014D,53.012604,-3.04566
W01000411,Wrexham 015C,53.011258,-3.057779
W01000412,Wrexham 015D,53.014248,-3.058993
W01000413,Wrexham 010C,53.041097,-2.972357
W01000414,Wrexham 010D,53.041654,-2.967721
W01000415,Wrexham 023F,53.054938,-2.971709
W01000416,Wrexham 023D,53.060211,-2.959611
W01000417,Wrexham 022B,53.1141685,-2.937949
W01000418,Wrexham 022A,53.108755,-2.946022
W01000419,Wrexham 016D,52.994607,-3.035411
W01000420,Wrexham 016E,52.988756,-3.037412
W01000422,Wrexham 008F,53.059964,-3.004499
W01000423,Wrexham 012D,53.039469,-2.972837
W01000424,Wrexham 012E,53.040766,-2.983501
W01000425,Wrexham 010E,53.049017,-2.978938
W01000442,Powys 004A,52.623632,-3.843868
W01001926,Conwy 011F,53.266938,-3.796288
W01001927,Conwy 010G,53.296203,-3.5678505
W01001928,Conwy 010H,53.294132,-3.58039
W01001929,Wrexham 012F,53.044381,-2.983559
W01001930,Wrexham 019F,52.933315,-3.185235
W01001931,Wrexham 012G,53.046094,-2.987475
W01001932,Gwynedd 014E,52.852743,-4.629418
W01001933,Gwynedd 017F,52.549365,-4.046117
W01001969,Wrexham 010F,53.048273,-2.969525
W01001970,Wrexham 021C,53.090971,-2.95817
W01001971,Wrexham 022D,53.034681,-2.933632
W01001972,Wrexham 022E,53.047348,-2.963008
W01002003,Gwynedd 013E,52.78844,-4.099491
W01002004,Gwynedd 016F,52.723723,-4.058417
W01002005,Isle of Anglesey 002E,53.342361,-4.26533
W01002007,Isle of Anglesey 004G,53.282089,-4.565292
W01002008,Isle of Anglesey 007F,53.227077,-4.4973405
