LSOA code,LSOA name,forecast_month,pred_next,fill_color
W01000258,Flintshire 006A,2026-02-01,6.851382487851201,"[255, 233, 233, 180]"
W01000259,Flintshire 017A,2026-02-01,21.385304631237933,"[255, 209, 209, 180]"
W01000260,Flintshire 017B,2026-02-01,4.844128320316894,"[255, 236, 236, 180]"
W01000261,Flintshire 014C,2026-02-01,3.514237964324342,"[255, 239, 239, 180]"
W01000262,Flintshire 017C,2026-02-01,12.630186560708365,"[255, 223, 223, 180]"
W01000263,Flintshire 017D,2026-02-01,10.674237755367358,"[255, 227, 227, 180]"
W01000264,Flintshire 012A,2026-02-01,10.046860590404279,"[255, 228, 228, 180]"
W01000265,Flintshire 012B,2026-02-01,4.217900687105494,"[255, 237, 237, 180]"
W01000266,Flintshire 017E,2026-02-01,6.4368873279621805,"[255, 234, 234, 180]"
W01000267,Flintshire 017F,2026-02-01,5.970442517958754,"[255, 234, 234, 180]"
W01000268,Flintshire 013B,2026-02-01,4.747021782658725,"[255, 237, 237, 180]"
W01000269,Flintshire 020A,2026-02-01,8.278235871628222,"[255, 231, 231, 180]"
W01000270,Flintshire 006B,2026-02-01,2.7108472922225464,"[255, 240, 240, 180]"
W01000271,Flintshire 006C,2026-02-01,5.677174593554622,"[255, 235, 235, 180]"
W01000272,Flintshire 006D,2026-02-01,5.9996026346742735,"[255, 234, 234, 180]"
W01000273,Flintshire 007A,2026-02-01,14.02346503425585,"[255, 221, 221, 180]"
W01000274,Flintshire 007B,2026-02-01,24.26131595005399,"[255, 204, 204, 180]"
W01000275,Flintshire 007C,2026-02-01,9.802802736462143,"[255, 228, 228, 180]"
W01000276,Flintshire 008A,2026-02-01,3.099128576061597,"[255, 239, 239, 180]"
W01000277,Flintshire 008B,2026-02-01,8.598102779195823,"[255, 230, 230, 180]"
W01000278,Flintshire 007D,2026-02-01,14.638720827107138,"[255, 220, 220, 180]"
W01000279,Flintshire 008C,2026-02-01,4.6627549794185565,"[255, 237, 237, 180]"
W01000280,Flintshire 010B,2026-02-01,3.349293524481389,"[255, 239, 239, 180]"
W01000281,Flintshire 008D,2026-02-01,2.6292885323500177,"[255, 240, 240, 180]"
W01000282,Flintshire 010C,2026-02-01,2.5053070121384433,"[255, 240, 240, 180]"
W01000283,Flintshire 008E,2026-02-01,18.471575920960976,"[255, 214, 214, 180]"
W01000284,Flintshire 013C,2026-02-01,3.3110931050732293,"[255, 239, 239, 180]"
W01000285,Flintshire 013D,2026-02-01,3.529302460923844,"[255, 239, 239, 180]"
W01000286,Flintshire 013E,2026-02-01,9.74373400861533,"[255, 228, 228, 180]"
W01000287,Flintshire 001A,2026-02-01,15.581992227415109,"[255, 218, 218, 180]"
W01000288,Flintshire 004A,2026-02-01,32.834072361260425,"[255, 189, 189, 180]"
W01000289,Flintshire 005A,2026-02-01,4.443181214502681,"[255, 237, 237, 180]"
W01000290,Flintshire 004B,2026-02-01,34.06262271526825,"[255, 187, 187, 180]"
W01000291,Flintshire 005B,2026-02-01,6.172360813737249,"[255, 234, 234, 180]"
W01000292,Flintshire 004C,2026-02-01,7.92491838186407,"[255, 231, 231, 180]"
W01000293,Flintshire 004D,2026-02-01,17.568486362222504,"[255, 215, 215, 180]"
W01000294,Flintshire 005C,2026-02-01,7.630076993071761,"[255, 232, 232, 180]"
W01000295,Flintshire 005D,2026-02-01,4.739406458012599,"[255, 237, 237, 180]"
W01000296,Flintshire 003C,2026-02-01,15.517658518059994,"[255, 218, 218, 180]"
W01000297,Flintshire 003D,2026-02-01,5.169478260166704,"[255, 236, 236, 180]"
